Area Code (M49);Area;Element;Item;Year;Value
4;Afghanistan;Production;Poultry Meat;2022;29
4;Afghanistan;Import quantity;Poultry Meat;2022;7
4;Afghanistan;Stock Variation;Poultry Meat;2022;1
4;Afghanistan;Domestic supply quantity;Poultry Meat;2022;36
4;Afghanistan;Residuals;Poultry Meat;2022;0
4;Afghanistan;Food;Poultry Meat;2022;36
4;Afghanistan;Production;Eggs;2022;22
4;Afghanistan;Import quantity;Eggs;2022;13
4;Afghanistan;Export quantity;Eggs;2022;0
4;Afghanistan;Domestic supply quantity;Eggs;2022;35
4;Afghanistan;Losses;Eggs;2022;3
4;Afghanistan;Residuals;Eggs;2022;0
4;Afghanistan;Food;Eggs;2022;29
8;Albania;Production;Poultry Meat;2022;18
8;Albania;Import quantity;Poultry Meat;2022;47
8;Albania;Stock Variation;Poultry Meat;2022;0
8;Albania;Domestic supply quantity;Poultry Meat;2022;64
8;Albania;Residuals;Poultry Meat;2022;0
8;Albania;Food;Poultry Meat;2022;64
8;Albania;Production;Eggs;2022;49
8;Albania;Import quantity;Eggs;2022;2
8;Albania;Stock Variation;Eggs;2022;0
8;Albania;Export quantity;Eggs;2022;1
8;Albania;Domestic supply quantity;Eggs;2022;51
8;Albania;Losses;Eggs;2022;8
8;Albania;Residuals;Eggs;2022;0
8;Albania;Food;Eggs;2022;43
12;Algeria;Production;Poultry Meat;2022;275
12;Algeria;Import quantity;Poultry Meat;2022;0
12;Algeria;Stock Variation;Poultry Meat;2022;0
12;Algeria;Export quantity;Poultry Meat;2022;0
12;Algeria;Domestic supply quantity;Poultry Meat;2022;275
12;Algeria;Residuals;Poultry Meat;2022;0
12;Algeria;Food;Poultry Meat;2022;275
12;Algeria;Production;Eggs;2022;312
12;Algeria;Import quantity;Eggs;2022;1
12;Algeria;Stock Variation;Eggs;2022;0
12;Algeria;Export quantity;Eggs;2022;0
12;Algeria;Domestic supply quantity;Eggs;2022;312
12;Algeria;Losses;Eggs;2022;14
12;Algeria;Residuals;Eggs;2022;0
12;Algeria;Food;Eggs;2022;282
