Area,Production_Viande de Volailles,Importations - Quantité_Viande de Volailles,Variation de stock_Viande de Volailles,Disponibilité intérieure_Viande de Volailles,Résidus_Viande de Volailles,Nourriture_Viande de Volailles,Disponibilité alimentaire en quantité (kg/personne/an)_Viande de Volailles,Disponibilité alimentaire (Kcal/personne/jour)_Viande de Volailles,Disponibilité de protéines en quantité (g/personne/jour)_Viande de Volailles,Disponibilité de matière grasse en quantité (g/personne/jour)_Viande de Volailles,Exportations - Quantité_Viande de Volailles
afghanistan,28.0,29.0,0.0,57.0,0.0,55.0,1.53,5.0,0.54,0.33,
afrique du sud,1667.0,514.0,-0.0,2118.0,0.0,2035.0,35.69,143.0,14.11,9.25,63.0
albanie,13.0,38.0,4.0,47.0,0.0,47.0,16.36,85.0,6.26,6.45,0.0
algérie,275.0,2.0,0.0,277.0,0.0,264.0,6.38,22.0,1.97,1.5,0.0
allemagne,1514.0,842.0,-29.0,1739.0,-38.0,1609.0,19.47,71.0,7.96,4.16,646.0
angola,42.0,277.0,-0.0,319.0,0.0,315.0,10.56,35.0,3.6,2.22,0.0
antigua-et-barbuda,0.0,7.0,0.0,7.0,0.0,5.0,54.1,233.0,17.77,17.55,0.0
arabie saoudite,616.0,722.0,-108.0,1435.0,0.0,1435.0,43.36,151.0,15.57,9.38,10.0
argentine,2161.0,8.0,0.0,1962.0,0.0,1856.0,42.24,182.0,13.53,13.84,207.0
arménie,11.0,35.0,-2.0,47.0,0.0,47.0,16.06,54.0,5.44,3.39,0.0
australie,1269.0,16.0,71.0,1171.0,-0.0,1171.0,47.65,192.0,16.6,13.45,42.0
autriche,148.0,110.0,8.0,173.0,-0.0,160.0,18.2,65.0,7.49,3.66,78.0
azerbaïdjan,104.0,27.0,2.0,129.0,0.0,129.0,13.11,44.0,4.45,2.77,0.0
bahamas,6.0,24.0,4.0,26.0,0.0,16.0,43.17,182.0,14.61,13.33,
bangladesh,249.0,0.0,-0.0,250.0,,240.0,1.5,7.0,0.47,0.51,
barbade,15.0,2.0,0.0,17.0,-0.0,13.0,46.78,199.0,15.33,14.85,0.0
belgique,463.0,338.0,-6.0,152.0,-25.0,144.0,12.65,44.0,4.57,2.71,656.0
belize,20.0,0.0,1.0,19.0,0.0,10.0,25.69,110.0,8.26,8.37,0.0
bolivie (état plurinational de),533.0,1.0,103.0,429.0,0.0,403.0,36.0,155.0,11.43,11.91,1.0
bosnie-herzégovine,61.0,10.0,8.0,55.0,-1.0,56.0,16.7,56.0,5.66,3.51,8.0
botswana,5.0,3.0,0.0,7.0,0.0,7.0,3.39,12.0,1.19,0.71,0.0
brésil,14201.0,3.0,0.0,9982.0,-0.0,9982.0,48.03,204.0,15.68,15.34,4223.0
bulgarie,107.0,108.0,13.0,157.0,0.0,157.0,22.06,81.0,8.74,4.9,45.0
burkina faso,46.0,0.0,-0.0,46.0,0.0,44.0,2.27,8.0,0.77,0.48,
bélarus,463.0,21.0,67.0,265.0,0.0,264.0,27.98,95.0,9.41,6.06,152.0
bénin,18.0,123.0,-20.0,161.0,0.0,161.0,14.4,37.0,4.98,1.71,0.0
cabo verde,1.0,12.0,4.0,10.0,0.0,9.0,17.62,62.0,6.52,3.75,
cambodge,28.0,10.0,-0.0,38.0,0.0,37.0,2.34,11.0,0.74,0.85,
cameroun,81.0,0.0,-0.0,82.0,0.0,78.0,3.16,11.0,1.07,0.67,0.0
canada,1417.0,182.0,3.0,1433.0,-0.0,1433.0,39.02,154.0,13.86,10.54,163.0
chili,712.0,155.0,80.0,672.0,0.0,672.0,36.36,153.0,12.21,11.22,115.0
chine - ras de hong-kong,24.0,907.0,-12.0,280.0,-125.0,391.0,53.51,210.0,22.26,12.7,663.0
chine - ras de macao,3.0,23.0,8.0,19.0,0.0,21.0,34.47,142.0,11.9,10.08,0.0
"chine, taiwan province de",652.0,161.0,20.0,785.0,-0.0,785.0,33.17,126.0,11.01,8.7,8.0
"chine, continentale",18236.0,452.0,-50.0,18161.0,-1.0,17518.0,12.33,59.0,3.96,4.67,576.0
chypre,25.0,14.0,0.0,38.0,-0.0,30.0,25.08,91.0,9.58,5.54,1.0
colombie,1564.0,78.0,-4.0,1643.0,0.0,1565.0,31.99,111.0,9.57,7.69,2.0
congo,7.0,104.0,-0.0,110.0,0.0,110.0,21.53,72.0,7.45,4.47,0.0
costa rica,133.0,17.0,13.0,134.0,0.0,131.0,26.52,92.0,7.93,6.36,3.0
croatie,61.0,24.0,22.0,45.0,0.0,45.0,10.77,37.0,4.06,2.2,17.0
cuba,29.0,312.0,-1.0,342.0,0.0,269.0,23.72,82.0,7.12,5.7,
côte d'ivoire,58.0,7.0,-0.0,65.0,0.0,62.0,2.53,8.0,0.86,0.53,0.0
danemark,173.0,133.0,0.0,167.0,0.0,166.0,28.98,112.0,12.97,6.34,139.0
djibouti,,3.0,0.0,3.0,0.0,3.0,2.68,9.0,0.92,0.59,
dominique,0.0,4.0,0.0,4.0,0.0,3.0,35.19,150.0,11.52,11.26,0.0
el salvador,136.0,16.0,20.0,131.0,0.0,131.0,20.43,71.0,6.25,4.9,2.0
espagne,1515.0,205.0,11.0,1497.0,-0.0,1418.0,30.39,105.0,12.47,5.72,212.0
estonie,20.0,21.0,2.0,29.0,0.0,28.0,21.26,86.0,7.27,6.03,11.0
eswatini,6.0,2.0,0.0,7.0,0.0,7.0,6.46,22.0,2.23,1.37,0.0
fidji,23.0,3.0,1.0,26.0,-0.0,25.0,28.02,97.0,9.44,6.26,0.0
finlande,129.0,16.0,22.0,111.0,-0.0,103.0,18.76,68.0,7.87,3.76,12.0
france,1750.0,506.0,183.0,1573.0,-2.0,1485.0,22.9,92.0,8.95,6.03,501.0
fédération de russie,4444.0,226.0,-1.0,4556.0,-7.0,4509.0,30.98,104.0,10.44,6.55,115.0
gabon,4.0,76.0,2.0,78.0,0.0,61.0,29.33,99.0,10.59,5.98,0.0
gambie,2.0,16.0,10.0,8.0,0.0,8.0,3.53,12.0,1.24,0.75,
ghana,60.0,151.0,0.0,211.0,0.0,211.0,7.24,16.0,2.26,0.73,0.0
grenade,1.0,7.0,-0.0,8.0,-0.0,5.0,45.7,192.0,15.5,13.99,
grèce,246.0,79.0,118.0,178.0,0.0,162.0,15.32,53.0,6.32,2.89,29.0
guatemala,235.0,129.0,-0.0,357.0,-3.0,348.0,20.58,71.0,6.11,4.95,7.0
guinée,13.0,37.0,-0.0,50.0,0.0,49.0,4.08,14.0,1.42,0.84,
guinée-bissau,3.0,4.0,3.0,4.0,0.0,4.0,2.16,7.0,0.74,0.46,
guyana,31.0,0.0,-1.0,32.0,0.0,30.0,38.34,165.0,12.33,12.55,0.0
géorgie,22.0,51.0,6.0,61.0,-0.0,61.0,15.27,51.0,5.19,3.21,5.0
haïti,9.0,89.0,-0.0,98.0,0.0,98.0,8.91,31.0,2.75,2.11,
honduras,193.0,12.0,-1.0,205.0,0.0,205.0,21.73,93.0,6.98,7.11,1.0
