Area,PIB par habitant,Population totale,Taux d'urbanisation,Taux de chômage,Taux d'inflation,Part des énergies renouvelables,Taux de mortalité infantile,Taux d'électrification
africa eastern and southern,1485.7535786147,632746570.0,35.3589006750633,7.12303202761926,6.39934341569381,61.8911318801459,46.4228525409571,40.199898068195
africa western and central,1590.5557849502,431138704.0,46.0394778242827,4.2041704106045,1.72548602374723,76.4130814959741,66.3046020873175,48.789457473528
arab world,6068.60300810316,423664839.0,58.3712899667064,11.0687158153229,2.06932928164433,4.37567300633967,26.8932613327717,90.6663018742983
caribbean small states,11576.2769685123,3016651.0,46.3201812314384,10.9611837901566,1.51820700736147,13.4630392156863,18.0515969842358,95.7430331185145
central europe and the baltics,14225.8773247545,102740078.0,62.2484547292635,5.29764711939543,2.0759355367385,16.4670211158335,4.44361397043801,99.86914260178
early-demographic dividend,3504.86445468793,3250752755.0,44.6614809641513,6.69497324765732,3.4653253940512,22.9318932699064,30.6039746395764,90.5262379043035
east asia & pacific,10454.5358035249,2327132966.0,58.197239072946,3.87116311350851,1.8003422246862,13.6095555971822,12.2,97.6980233866031
east asia & pacific (excluding high income),7151.27470673284,2080901482.0,54.6886447150072,3.91708260047549,2.91263557371478,15.194633216799,12.7182007085823,97.451742777989
east asia & pacific (ida & ibrd countries),7231.05858273787,2055414680.0,54.6023491585148,3.93193268866435,2.88291164981212,15.2141833608499,12.6888498696065,98.1128558182722
euro area,36878.9370566652,345370612.0,76.5295355740256,9.05337170464654,1.37503641525339,16.5895000626086,3.13355731698272,100.0
europe & central asia,23670.8127114864,914748588.0,72.0106051936005,7.43431878303094,1.95607633363963,12.9052522337975,7.5,99.9637094037616
europe & central asia (excluding high income),6111.39433717826,243006453.0,63.1056729336865,8.83451466806739,6.03183725177793,8.68153690303907,13.5116165637388,99.9183821940095
europe & central asia (ida & ibrd countries),8554.01109678492,457063732.0,66.152178203193,7.0241393717098,3.15318617485027,6.78336326599948,10.4856217176416,99.9272265326044
european union,33091.3890251906,446215182.0,74.3070266759772,8.1194012443605,1.42910743319306,17.6948545926672,3.41388757886702,99.9698703678352
fragile and conflict affected situations,1690.94404160881,916477490.0,42.5812352672813,5.8948327706098,3.48854825371271,58.4149495065343,56.0314246563809,54.5631752651004
heavily indebted poor countries (hipc),940.767399878295,770390212.0,35.612932485169,4.52973789368646,4.97595150553892,75.8548278612256,50.5533733947625,41.5183905621843
high income,38707.9315420479,1377929189.0,79.9807397087166,5.59048004106759,1.58734107634072,11.133700549377,4.5,99.9608075777366
ibrd only,6048.21917294317,4752675645.0,54.5232593884932,6.38365785226418,3.32817337461298,16.4245356938965,19.8616362126265,96.6140192932522
ida & ibrd total,4837.06302141945,6400602851.0,49.8368159142577,5.99271648498029,3.44637335032669,21.8896755439064,32.5963685184517,87.2637509200286
ida blend,1760.54249485162,549511044.0,41.6753097311307,4.33948088709596,1.14765339305816,60.3514227034789,61.2097818255852,71.9060547127056
ida only,1135.9391535687,1098416162.0,33.6158603467359,4.69410672669928,4.18072331871267,67.0471204885368,46.4992930994574,54.4361536322367
ida total,1344.21682075242,1647927206.0,36.3062552467525,4.58345571310177,3.73888388490667,63.756726238097,51.5284003610421,60.2679332649365
late-demographic dividend,9020.04276617454,2287248399.0,61.57383429688,5.26563670781674,2.17727572689263,14.4100287679332,8.79552182369123,99.2795749258714
latin america & caribbean,9256.11626423804,633795231.0,80.4143925872877,8.04964446167378,2.19201010962985,29.4019983736021,15.2,97.7135942305631
latin america & caribbean (excluding high income),8788.65434317749,570381211.0,79.8751638517647,8.23194430209279,3.27955694678546,30.656656872441,15.1308016805054,97.5717475090532
latin america & the caribbean (ida & ibrd countries),9110.90175054244,618155029.0,80.4039399496141,8.15207411416684,2.8227580554717,29.6360964977693,15.3784734592528,97.6667483687171
least developed countries: un classification,1026.5687075244,998532743.0,33.0977688989273,5.05965680278078,4.97595150553892,70.7237180071876,47.9787738113084,50.2107357057394
low & middle income,4528.2851864622,6168617518.0,48.9331576646829,6.00338296990549,3.66699702675925,23.7676399979481,33.1420170305948,86.565149962679
low income,654.651268016387,613946858.0,32.2565136562569,5.0892095856532,8.15686323403371,73.4896036079887,51.8,39.0805495764912
lower middle income,2018.06133276216,2821058566.0,37.9677198064037,6.22011004292745,3.52025688811617,40.1020091374381,39.1,84.7280368393812
middle east & north africa,7380.40569942152,456885486.0,64.711306676216,10.797465686371,1.58909413567799,1.58715383690058,18.6,97.6250026473811
middle east & north africa (excluding high income),3821.91888653613,391607422.0,60.9917609724414,12.7176995786461,4.32135218303191,2.49808095412844,20.0561109895791,97.2291081354939
middle east & north africa (ida & ibrd countries),3824.23813565368,387152617.0,60.8202870729607,12.5840105227982,4.81510028934517,2.45872573459995,20.1425864062097,97.1983752877486
middle income,4956.25071427331,5554670660.0,50.7769889420366,6.08859672281781,3.44637335032669,21.9573461951041,29.2456256949313,91.8152225396589
north america,58796.4689001287,361731076.0,81.9896400901813,4.58159619810452,1.86349706609478,11.3519352843397,5.6,100.0
not classified,,,,,,,,
oecd members,37576.6175060967,1346867182.0,80.3952503532275,5.90735032407124,1.82264336059063,12.8627670804176,6.28660396992457,99.9405764596022
other small states,13168.3078074236,13439650.0,58.1078653482792,8.21544312614478,1.76041559180596,31.5667678986818,27.5302016003281,90.4945894126707
pacific island small states,4142.26772455685,2484263.0,38.4685447800817,3.48418829093629,1.58394248575813,28.9625339366516,19.9014239701644,82.3564554155498
post-demographic dividend,43088.4274179433,1106262382.0,81.0982389144287,5.83639833337156,1.76264931892238,12.5593179241081,4.18395844881593,99.970583083607
pre-demographic dividend,1340.65197800485,905987912.0,40.8286445049975,5.46533363858061,4.97595150553892,73.3281439587563,57.2040240457612,44.3204552949929
small states,11730.8818238776,18940564.0,53.6545361595885,8.09252205807457,1.63405189110426,28.9203745003156,24.7331673480349,90.2630998844596
south asia,1887.87828259142,1818931519.0,33.5786134423552,6.95480348947292,4.52022867508868,34.6387159666426,37.5,91.6760241733433
south asia (ida & ibrd),1887.87828259142,1818931519.0,33.5786134423552,6.95480348947292,4.52022867508868,34.6387159666426,37.5007588027671,91.6760241733433
sub-saharan africa,1528.22459360107,1063885274.0,39.6871965003954,6.0446244692085,5.19698185340168,68.2152028750416,54.9,43.6808105316438
sub-saharan africa (excluding high income),1526.78737212966,1063789431.0,39.685703269684,6.0446244692085,5.20971705914209,68.2327658226119,54.8783733353744,43.675736407086
sub-saharan africa (ida & ibrd countries),1528.22459360107,1063885274.0,39.6871965003954,6.0446244692085,5.19698185340168,68.2152028750416,54.8764370443518,43.6808105316439
upper middle income,7988.4308620841,2733612094.0,64.0046847594259,5.98707050154594,3.39697584895255,15.1736398448485,11.7,99.1339177479467
world,10762.8045848545,7577110140.0,54.7388680161327,5.91614141999205,2.25427651934813,17.9191918096439,30.2,89.0186672372511
afghanistan,526.140801025756,35643418.0,25.25,11.184,4.97595150553892,19.5,51.5,97.7
albania,4531.03220675893,2873457.0,59.383,13.616,1.98666133171199,36.9,8.3,99.9
algeria,4615.86874364885,41136546.0,72.052,12.0,5.59111590961664,0.1,21.0,99.5
american samoa,12372.8847825647,49463.0,87.17,,,0.3,,
andorra,40632.2315521995,73837.0,88.15,,,18.0,3.1,100.0
angola,2439.37443934002,30208628.0,64.839,16.617,29.8444799015679,52.5,53.4,42.9
antigua and barbuda,16803.8702340001,91119.0,24.713,,2.43248789041363,0.4,9.0,100.0
argentina,14613.0356486571,44044811.0,91.749,8.347,,10.4,9.8,100.0
