Area,PIB par habitant,Taux d'urbanisation,Taux de chômage,Taux d'inflation,Part des énergies renouvelables,Taux de mortalité infantile,Taux d'électrification,Production_Viande de Volailles,Importations - Quantité_Viande de Volailles,Variation de stock_Viande de Volailles,Disponibilité intérieure_Viande de Volailles,Résidus_Viande de Volailles,Nourriture_Viande de Volailles,Disponibilité alimentaire en quantité (kg/personne/an)_Viande de Volailles,Disponibilité alimentaire (Kcal/personne/jour)_Viande de Volailles,Disponibilité de protéines en quantité (g/personne/jour)_Viande de Volailles,Disponibilité de matière grasse en quantité (g/personne/jour)_Viande de Volailles,Exportations - Quantité_Viande de Volailles,Internet,total_population
albania,4531.03220675893,59.383,13.616,1.98666133171199,36.9,8.3,99.9,13.0,38.0,4.0,47.0,0.0,47.0,16.36,85.0,6.26,6.45,0.0,62.4,1438170.5845
algeria,4615.86874364885,72.052,12.0,5.59111590961664,0.1,21.0,99.5,275.0,2.0,0.0,277.0,0.0,264.0,6.38,22.0,1.97,1.5,0.0,47.69105515,20588967.5945
angola,2439.37443934002,64.839,16.617,29.8444799015679,52.5,53.4,42.9,42.0,277.0,0.0,319.0,0.0,315.0,10.56,35.0,3.6,2.22,0.0,26.0,15119222.383
armenia,4041.99507105058,63.103,12.968,0.969553268816138,12.6,11.7,99.7,11.0,35.0,-2.0,47.0,0.0,47.0,16.06,54.0,5.44,3.39,0.0,64.74488433,1427433.8955
australia,53954.553494614,85.904,5.592,1.94864740944527,9.9,3.2,100.0,1269.0,16.0,71.0,1171.0,0.0,1171.0,47.65,192.0,16.6,13.45,42.0,86.54504885,12308586.31
austria,47429.1584564387,58.094,5.561,2.08126911385587,34.0,3.0,100.0,148.0,110.0,8.0,173.0,0.0,160.0,18.2,65.0,7.49,3.66,78.0,87.93558659,4403192.9505
azerbaijan,4147.1981423222,55.343,5.0,12.9359184187335,1.9,20.6,100.0,104.0,27.0,2.0,129.0,0.0,129.0,13.11,44.0,4.45,2.77,0.0,79.0,4931939.16
belarus,5785.53397723676,78.134,5.648,6.03183725177793,7.3,2.7,98.7,463.0,21.0,67.0,265.0,0.0,264.0,27.98,95.0,9.41,6.06,152.0,74.43644541,4734219.6155
belgium,44198.4823908691,97.961,7.086,2.12597086002607,9.7,3.3,100.0,463.0,338.0,-6.0,152.0,-25.0,144.0,12.65,44.0,4.57,2.71,656.0,87.67968082,5693288.874
belize,6049.3919477765,45.601,6.596,1.14765339305816,37.2,12.2,94.2,20.0,0.0,1.0,19.0,0.0,10.0,25.69,110.0,8.26,8.37,0.0,47.0826258,187534.3845
benin,1095.27445827386,46.768,1.722,0.0432648555103608,45.4,60.5,34.5,18.0,123.0,-20.0,161.0,0.0,161.0,14.4,37.0,4.98,1.71,0.0,18.7,5803977.099
bolivia,3280.0082139387,69.08,3.655,2.8227580554717,14.3,23.6,91.8,533.0,1.0,103.0,429.0,0.0,403.0,36.0,155.0,11.43,11.91,1.0,43.83227607,5723362.9275
botswana,6705.34084567283,68.7,19.678,3.30828076768219,26.7,35.4,67.4,5.0,3.0,0.0,7.0,0.0,7.0,3.39,12.0,1.19,0.71,0.0,41.41379464,1202022.54
brazil,9896.71889500528,86.309,12.792,3.44637335032669,45.3,13.7,99.8,14201.0,3.0,0.0,9982.0,0.0,9982.0,48.03,204.0,15.68,15.34,4223.0,67.47128452,104356396.9115
bulgaria,8381.88134621669,74.669,6.164,2.06159619443141,17.1,6.1,98.1,107.0,108.0,13.0,157.0,0.0,157.0,22.06,81.0,8.74,4.9,45.0,63.41010138,3541524.722
cameroon,1479.86222292144,55.777,3.581,0.64040914988195,79.2,54.3,60.9,81.0,0.0,0.0,82.0,0.0,78.0,3.16,11.0,1.07,0.67,0.0,23.20297197,12208873.5365
canada,45129.628116623,81.35,6.426,1.59688412852977,22.8,4.6,100.0,1417.0,182.0,3.0,1433.0,0.0,1433.0,39.02,154.0,13.86,10.54,163.0,92.70137191,18290903.5475
chile,15034.0584350711,87.49,7.29,2.18271846868519,24.1,6.6,99.7,712.0,155.0,80.0,672.0,0.0,672.0,36.36,153.0,12.21,11.22,115.0,82.32748693,9193523.7195
china,8817.04560829162,57.96,4.47,1.59313600071436,13.1,7.0,100.0,18236.0,452.0,-50.0,18161.0,-1.0,17518.0,12.33,59.0,3.96,4.67,576.0,54.3,698818010.8955
colombia,6449.97098770131,80.446,9.086,4.31431325695011,32.2,12.6,98.5,1564.0,78.0,-4.0,1643.0,0.0,1565.0,31.99,111.0,9.57,7.69,2.0,62.25988032,24200290.4195
congo,1339.4108487274596,55.1695,12.762,0.450063823285546,83.25,52.4,32.1,7.0,104.0,0.0,110.0,0.0,110.0,21.53,72.0,7.45,4.47,0.0,8.65,22401458.5975
costa rica,12118.1336248174,78.56,7.729,1.62590692991732,33.3,7.5,99.6,133.0,17.0,13.0,134.0,0.0,131.0,26.52,92.0,7.93,6.36,3.0,71.58166462,2499395.977
croatia,13655.4798216229,56.667,11.208,1.12937210282347,29.8,4.1,100.0,61.0,24.0,22.0,45.0,0.0,45.0,10.77,37.0,4.06,2.2,17.0,67.09619204,2064356.9285
cyprus,26697.005859375,66.836,11.155,0.531766496174467,10.9,2.4,100.0,25.0,14.0,0.0,38.0,0.0,30.0,25.08,91.0,9.58,5.54,1.0,80.74318897,604851.339
denmark,57610.0981801135,87.757,5.833,1.14713216957602,35.0,3.4,100.0,173.0,133.0,0.0,167.0,0.0,166.0,28.98,112.0,12.97,6.34,139.0,97.09936216,2885356.137
ecuador,6256.68301935971,63.67,3.836,0.417335588666825,17.0,12.4,99.2,340.0,0.0,-1.0,341.0,0.0,324.0,19.31,83.0,6.15,6.35,0.0,55.8,8356864.6805
el salvador,3986.04901435439,71.275,4.385,1.0123540331558,25.0,12.2,96.8,136.0,16.0,20.0,131.0,0.0,131.0,20.43,71.0,6.25,4.9,2.0,33.8207289,3136521.063
estonia,20437.765376736,68.717,5.807,3.41723549488054,27.5,2.1,100.0,20.0,21.0,2.0,29.0,0.0,28.0,21.26,86.0,7.27,6.03,11.0,88.10245687,659351.695
