Area;PIB par habitant;Year;Population totale;Taux d'urbanisation;Taux de chomage;Taux d'inflation;Dette publique (% du PIB);Part des energies renouvelables;Taux de mortalite infantile;Taux d'electrification
Afghanistan;352.6037331;2022;41128771;26.616;14.1;;;20;44.8;85.3
Africa Eastern and Southern;1642.432039;2022;720859132;37.82515808;7.448221786;10.88347757;;;40.79762455;48.71199459
Africa Western and Central;1788.875347;2022;490330870;49.04738455;3.737765512;7.967573616;;;59.13002875;55.43757725
Albania;6810.114041;2022;2777689;63.799;11.588;6.725202715;;;8.4;100
Algeria;5023.252932;2022;44903225;74.772;12.437;9.265515516;;;18.7;100
American Samoa;19673.3901;2022;44273;87.196;;;;0.4;;
Andorra;42350.69707;2022;79824;87.811;;;;18.7;2.6;100
Angola;2933.484644;2022;35588987;68.081;14.693;21.35529013;;;45.7;48.5
Antigua and Barbuda;19919.72669;2022;93763;24.346;;7.531078346;;0.9;8.1;100
Arab World;7776.62938;2022;464684914;59.55747065;9.869656321;4.995020751;;;23.97136794;91.02640452
Argentina;13650.60463;2022;46234830;92.347;6.805;;;;8.4;100
Armenia;7018.051504;2022;2780469;63.573;8.608;8.64091109;46.55189867;;9.2;100
Aruba;33300.83882;2022;106445;44.052;;;;8.8;;99.9
Australia;65077.67667;2022;26014399;86.488;3.701;6.594096713;57.97474821;;3.2;100
Austria;52084.6812;2022;9041851;59.256;4.992;8.546869932;75.05117642;;2.6;100
Azerbaijan;7770.594223;2022;10141756;57.17;5.65;13.85225901;;;16.1;100
Bahamas, The;32041.25039;2022;409984;83.492;9.87;5.605406336;82.15955396;1.1;11.2;100
Bahrain;30146.92503;2022;1472233;89.743;1.326;3.625741043;;;5.6;100
Bangladesh;2687.899063;2022;171186372;39.711;5.247;7.696954372;;;24.1;99.4
Barbados;20738.45119;2022;281635;31.324;8.493;;;5.5;10.1;100
Belarus;7994.648061;2022;9228071;80.326;3.574;15.20967527;;;1.9;100
Belgium;49942.09064;2022;11685814;98.153;5.558;9.597511729;94.03943214;;3.1;100
Belize;6984.21696;2022;405272;46.396;8.724;6.276893194;;30.8;9.4;98.6
Benin;1304.994797;2022;13352864;49.534;1.473;1.350778636;;;53.6;56.5
Bermuda;123091.1235;2022;63595;100;;;;0.9;;100
Bhutan;3704.018395;2022;782455;43.686;5.947;5.639166714;;82.5;20.1;100
Bolivia;3600.121635;2022;12224110;70.83;3.552;1.746328729;;;19.6;99.9
Bosnia and Herzegovina;7587.588173;2022;3233526;49.841;12.657;;41.74351052;;5.2;100
Botswana;7726.110997;2022;2630296;72.224;23.615;11.66556748;;;31.2;75.9
Brazil;9065.497334;2022;215313498;87.555;9.231;9.28010609;79.10232189;;12.5;100
British Virgin Islands;;2022;31305;49.331;;;;1.3;11.6;100
Brunei Darussalam;37152.47697;2022;449002;78.854;5.191;3.682250306;;;8.5;100
Bulgaria;13974.44925;2022;6465097;76.363;4.268;15.32525893;30.29895731;;5;100
Burkina Faso;830.0439659;2022;22673762;31.877;5.348;14.29023543;62.52560943;71.4;50.1;19.5
Burundi;259.0250314;2022;12889576;14.417;0.919;18.80087867;;83;36.4;10.3
Cabo Verde;3883.911159;2022;593149;67.545;12.272;7.930929254;;21.8;10.6;97.1
Cambodia;1759.608023;2022;16767842;25.114;0.247;5.343702649;;;20.3;92.3
Cameroon;1563.48894;2022;27914536;58.733;3.687;6.247677133;;;47;71
Canada;55509.39318;2022;38939056;81.752;5.28;6.802801153;61.41786358;;4.3;100
Caribbean small states;15296.21298;2022;3147057;46.8104481;10.7078633;6.195974348;;;15.86948097;97.59329329
Cayman Islands;96073.76359;2022;68706;100;;;;0;;100
Central African Republic;427.0580962;2022;5579144;43.12;6.337;5.583167352;;90.9;73.5;15.7
Central Europe and the Baltics;19414.74166;2022;100108262;62.83974804;4.006651675;14.60814395;;;3.936791412;100
Chad;699.4632545;2022;17723315;24.063;1.104;5.788026878;;70;64.1;11.7
Channel Islands;64501.27424;2022;174079;31.077;5.91;;;;;100
Chile;15411.17395;2022;19603733;87.912;8.299;11.64386671;;;5.4;100
China;12662.58317;2022;1412175000;63.56;4.98;1.973575557;;;4.8;100
Colombia;6657.086697;2022;51874024;82.05;10.547;10.17723135;70.14018401;;10.6;100
Comoros;1484.892465;2022;836774;29.864;5.854;;;39.3;38.2;89.9
Congo, Dem. Rep.;664.5935433;2022;99010212;46.837;4.585;;15.98969681;;60.1;21.5
Congo, Rep.;2649.230634;2022;5970424;68.736;20.261;3.043443347;;;31.2;50.6
Costa Rica;13365.3564;2022;5180829;82.042;11.325;8.274774902;71.11157641;;6.9;100
Cote d'Ivoire;2491.895934;2022;28160542;52.661;2.434;5.276167243;;;52.4;70.4
Croatia;18673.17799;2022;3855641;58.219;6.96;10.78058068;82.07979639;;3.9;100
Cuba;;2022;11212191;77.401;1.254;;;;6.2;100
Curacao;20492.81531;2022;149996;89.025;;;;;;100
Cyprus;32048.24805;2022;1251488;66.911;6.807;8.39548298;;;2.7;100
Czechia;27226.61564;2022;10672118;74.377;2.224;15.10016515;;;2.1;100
