Area;Internet
Afghanistan;18.4
Albania;82.61368583
Algeria;70.77
American Samoa;0
Andorra;93.89752157
Angola;32.60230173
Antigua and Barbuda;95.66338947
Argentina;88.37535691
Armenia;78.61225758
Aruba;97.17
Australia;96.24
Austria;93.61409139
Azerbaijan;86
Bahamas, The;94.29380729
Bahrain;100
Bangladesh;38.91744466
Barbados;85.82
Belarus;89.50733148
Belgium;94.00783071
Belize;61.9941698
Benin;33.96533089
Bermuda;98.37
Bhutan;85.63688389
Bolivia;65.9773785
Bosnia and Herzegovina;78.8455371
Botswana;73.5
Brazil;80.52775094
British Virgin Islands;77.70426829
Brunei Darussalam;98.08
Bulgaria;79.12686326
Burkina Faso;21.57982734
Burundi;5.804921577
Cabo Verde;69.76225648
Cambodia;60.1524023
Cameroon;45.60217394
Canada;92.83401664
Cayman Islands;81.06769325
Central African Republic;10.58263964
Chad;17.8688792
Channel Islands;..
Chile;90.19336882
China;75.61131603
Colombia;72.79637704
Comoros;27.33694319
Congo, Dem. Rep.;22.90158489
Congo, Rep.;8.65
Costa Rica;82.59801121
Cote d'Ivoire;35.47812105
Croatia;82.07154778
Cuba;71.11907507
Curacao;68.12721625
Cyprus;89.60095366
Czechia;84.54009378
Denmark;97.86011812
Djibouti;68.86318451
Dominica;80.93300506
Dominican Republic;85.24298638
Ecuador;69.71811352
Egypt, Arab Rep.;72.19806524
El Salvador;62.88028717
Equatorial Guinea;53.92240217
Eritrea;21.73038628
Estonia;91.02128973
Eswatini;58.91291568
Ethiopia;16.6981031
Faroe Islands;97.58195894
Fiji;87.65996651
Finland;92.98879471
France;85.33331549
French Polynesia;72.70389531
Gabon;71.74940641
Gambia, The;32.96228971
Georgia;78.71127536
Germany;91.62984383
Ghana;68.2
Gibraltar;94.44447158
Greece;83.17066333
Greenland;69.48246178
Grenada;77.76723663
Guam;80.50546556
Guatemala;50.84164945
Guinea;34.68012393
Guinea-Bissau;35.15498736
Guyana;84.79357266
Haiti;38.94501834
Honduras;48.08351858
Hong Kong SAR, China;95.61357052
Hungary;90.46084106
Iceland;99.68701957
India;46.31
Indonesia;66.48461277
Iran, Islamic Rep.;78.5957366
Iraq;78.71561135
Ireland;95.16956667
Isle of Man;..
Israel;90.29689758
Italy;85.06074504
Jamaica;82.36071561
Japan;82.91407928
Jordan;85.999997
Kazakhstan;92.29685266
Kenya;28.75752799
Kiribati;53.6270365
Korea, Dem. People's Rep.;0
Korea, Rep.;97.16855413
Kosovo;89.44303197
Kuwait;99.7
Kyrgyz Republic;77.92035931
Lao PDR;62
Latvia;91.03009059
Lebanon;86.58903046
Lesotho;47.98299869
Liberia;33.63315905
Libya;17.76
Liechtenstein;95.56937637
Lithuania;87.72420219
Luxembourg;98.24203749
Macao SAR, China;88.46810492
Madagascar;19.73016812
Malawi;24.40560063
Malaysia;97.3986404
Maldives;85.76058262
Mali;34.49
Malta;91.54075982
Marshall Islands;38.70116262
Mauritania;58.75818983
Mauritius;67.58
Mexico;75.62650476
Micronesia, Fed. Sts.;40.40961941
Moldova;61.28776161
Monaco;86.09548575
Mongolia;81.60682285
Montenegro;88.22192026
Morocco;88.13031937
Mozambique;17.37283681
Myanmar;44.02167324
Namibia;52.9734788
Nauru;83.93521594
Nepal;51.63135772
Netherlands;92.51968504
New Caledonia;82.0058408
New Zealand;95.91020269
Nicaragua;57.14684935
Niger;22.38613931
Nigeria;55.36371347
North Macedonia;83.01821027
Northern Mariana Islands;0
Norway;98.99997764
Oman;96.38007504
Pakistan;21.0372074
Palau;26.97033263
Panama;67.509728
Papua New Guinea;32.05416291
Paraguay;76.25916611
Peru;74.67495125
Philippines;52.67573808
Poland;86.94113568
Portugal;84.49690644
Puerto Rico;84.78666399
Qatar;100
Romania;85.50309124
Russian Federation;90.41799163
Rwanda;30.46181693
Samoa;78.24573185
San Marino;74.8623274
Sao Tome and Principe;51.20409155
Saudi Arabia;100
Senegal;58.05481906
Serbia;83.53825397
Seychelles;81.59307191
Sierra Leone;18
Singapore;95.95386476
Sint Maarten (Dutch part);..
Slovak Republic;88.92560523
Slovenia;88.91242151
Solomon Islands;36.131954
Somalia;2.004048698
South Africa;72.310492
South Sudan;6.5
Spain;94.4855432
Sri Lanka;44.45308724
St. Kitts and Nevis;79.47306769
St. Lucia;78.09560329
St. Martin (French part);..
St. Vincent and the Grenadines;84.91281395
Sudan;28.4
Suriname;65.93980141
Sweden;95.00970335
Switzerland;95.56937168
Syrian Arab Republic;35.78
Tajikistan;21.96
Tanzania;31.63313086
Thailand;87.97728101
Timor-Leste;39.45131242
Togo;34.98405528
Tonga;71.58657964
Trinidad and Tobago;79
Tunisia;78.98965145
Turkiye;83.43716576
Turkmenistan;21.25099741
Turks and Caicos Islands;0
Tuvalu;71.58657964
Uganda;10.34242044
Ukraine;79.21829353
United Arab Emirates;100
United Kingdom;96.68023657
United States;91.75320833
Uruguay;89.87304314
Uzbekistan;76.59043014
Vanuatu;66.33566871
Venezuela, RB;61.6
Viet Nam;78.58999918
Virgin Islands (U.S.);64.3774943
West Bank and Gaza;88.64690554
Yemen, Rep.;26.71835477
Zambia;21.23153129
Zimbabwe;34.81397069
Africa Eastern and Southern;27.66065378
Africa Western and Central;46.99049731
Arab World;76.30907665
Caribbean small states;79.00819693
Central Europe and the Baltics;86.21572079
Early-demographic dividend;51.94956714
East Asia & Pacific;76.13632018
East Asia & Pacific (excluding high income);75.2985289
East Asia & Pacific (IDA & IBRD countries);75.2985289
Euro area;89.20925613
Europe & Central Asia;88.10102986
Europe & Central Asia (excluding high income);80.9512337
Europe & Central Asia (IDA & IBRD countries);85.19770045
European Union;88.85076735
Fragile and conflict affected situations;38.43999982
Heavily indebted poor countries (HIPC);28.4885178
High income;89.89087757
IBRD only;65.79921678
IDA & IBRD total;58.15764895
IDA blend;39.39571181
IDA only;32.44726293
IDA total;34.99881753
Late-demographic dividend;77.70906566
Latin America & Caribbean;76.15822297
Latin America & Caribbean (excluding high income);75.59261708
Latin America & the Caribbean (IDA & IBRD countries);76.19295658
Least developed countries: UN classification;29.75478502
Low & middle income;57.08441402
Low income;19.98569521
Lower middle income;47.41068686
Middle East & North Africa;77.37353454
Middle East & North Africa (excluding high income);73.40081351
Middle East & North Africa (IDA & IBRD countries);73.27587142
Middle income;60.19289538
North America;91.86313227
OECD members;87.38720083
Other small states;74.03222871
Pacific island small states;65.23708553
Post-demographic dividend;89.28684741
Pre-demographic dividend;35.17308292
Small states;73.68056808
South Asia;42.58726467
South Asia (IDA & IBRD);42.58726467
Sub-Saharan Africa;35.86173873
Sub-Saharan Africa (excluding high income);35.85728551
Sub-Saharan Africa (IDA & IBRD countries);35.86173873
Upper middle income;76.38469172
