,Country,Alpha-3 code,PAYS,3 lettres
0,Afghanistan,AFG,AFGHANISTAN,AFG
1,Albania,ALB,ALBANIE,ALB
2,Algeria,DZA,ALGÉRIE,DZA
3,Andorra,AND,ANDORRE,AND
4,Angola,AGO,ANGOLA,AGO
5,Argentina,ARG,ARGENTINE,ARG
6,Armenia,ARM,ARMÉNIE,ARM
7,Aruba,ABW,ARUBA,ABW
8,Australia,AUS,AUSTRALIE,AUS
9,Austria,AUT,AUTRICHE,AUT
10,Azerbaijan,AZE,AZERBAÏDJAN,AZE
11,Bahamas (the),BHS,BAHAMAS,BHS
12,Bahrain,BHR,BAHREÏN,BHR
13,Bangladesh,BGD,BANGLADESH,BGD
14,Belarus,BLR,BIÉLORUSSIE,BLR
15,Belgium,BEL,BELGIQUE,BEL
16,Belize,BLZ,BÉLIZE,BLZ
17,Benin,BEN,BÉNIN,BEN
18,Bermuda,BMU,BERMUDES,BMU
19,Bhutan,BTN,BHOUTAN,BTN
20,Bolivia (Plurinational State of),BOL,BOLIVIE,BOL
21,Bosnia and Herzegovina,BIH,BOSNIE-HERZÉGOVINE,BIH
22,Botswana,BWA,BOTSWANA,BWA
23,Brazil,BRA,BRÉSIL,BRA
24,Brunei Darussalam,BRN,BRUNEÏ,BRN
25,Bulgaria,BGR,BULGARIE,BGR
26,Burkina Faso,BFA,BURKINA FASO,BFA
27,Burundi,BDI,BURUNDI,BDI
28,Cabo Verde,CPV,CAP VERT,CPV
29,Cambodia,KHM,CAMBODGE,KHM
30,Cameroon,CMR,CAMEROUN,CMR
31,Canada,CAN,CANADA,CAN
32,Central African Republic (the),CAF,CENTRAFRICAINE (République),CAF
33,Chad,TCD,TCHAD,TCD
34,Chile,CHL,CHILI,CHL
35,Chile,CHL,CHILI,CHL
36,China,CHN,CHINE,CHN
37,Colombia,COL,COLOMBIE,COL
38,Colombia,COL,COLOMBIE,COL
39,Comoros (the),COM,COMORES,COM
40,Congo (the Democratic Republic of the),COD,CONGO (République démocratique du),COD
41,Congo (the),COG,CONGO,COG
42,Costa Rica,CRI,COSTA-RICA,CRI
43,Costa Rica,CRI,COSTA RICA,CRI
44,Croatia,HRV,CROATIE,HRV
45,Cuba,CUB,CUBA,CUB
46,Cyprus,CYP,CHYPRE,CYP
47,Czechia,CZE,REPUBLIQUE TCHÈQUE,CZE
48,Côte d'Ivoire,CIV,CÔTE D'IVOIRE,CIV
49,Denmark,DNK,DANEMARK,DNK
50,Djibouti,DJI,DJIBOUTI,DJI
51,Dominica,DMA,DOMINIQUE,DMA
52,Dominican Republic (the),DOM,DOMINICAINE (République),DOM
53,Ecuador,ECU,ÉQUATEUR,ECU
54,Egypt,EGY,ÉGYPTE,EGY
55,El Salvador,SLV,SALVADOR,SLV
56,Equatorial Guinea,GNQ,GUINÉE ÉQUATORIALE,GNQ
57,Eritrea,ERI,ÉRYTRÉE,ERI
58,Estonia,EST,ESTONIE,EST
59,Eswatini,SWZ,SWAZILAND,SWZ
60,Ethiopia,ETH,ÉTHIOPIE,ETH
61,Falkland Islands (the) [Malvinas],FLK,MALOUINES (Îles),FLK
62,Faroe Islands (the),FRO,FÉROÉ (Îles),FRO
63,Fiji,FJI,FIDJI,FJI
64,Finland,FIN,FINLANDE,FIN
65,France,FRA,FRANCE,FRA
